name,calories,proteins,fat,carbohydrate,is_seafood,is_nut,is_lactose
telur dadar,251,16.3,19.4,1.4,0,0,0
Bakso ,76,4.1,2.5,9.2,0,0,0
Gado-gado,137,6.1,3.2,21,0,1,0
Siomay ,95.3,4.4,2.2,14.4,1,1,0
Alpukat segar,85,0.9,6.5,7.7,0,0,0
Apel,58,0.3,0.4,14.9,0,0,0
Ayam  goreng Kentuckysayap,297,35.9,15.2,1.6,0,0,0
Ayam goreng kentucky dada,298,34.2,16.8,0.1,0,0,0
Ayam goreng Kentucky paha,286,32.1,16.1,1.1,0,0,0
Ayam goreng paha,287,31,15.7,1.7,0,0,0
nasi beras merah,149,2.8,0.4,32.5,0,0,0
nasi jagung,357,8.8,3.8,79.5,0,0,0
nasi putih,180,3,0.3,39.8,0,0,0
Abon,280,9.2,28.4,0,0,0,0
Alpukat segar,85,0.9,6.5,7.7,0,0,0
Apel,58,0.3,0.4,14.9,0,0,0
Mie ayam,102,6.2,3.9,10.5,0,0,0
Mie bakso,114,5.3,3,16.4,0,0,0
Sayur asem,29,0.7,0.6,5,0,0,0
Sayur sop,27,1.3,2,1,0,0,0
Sop buntut masakan,71,7.5,3.6,2.2,0,0,0
Kelapa Muda air,17,0.2,0.1,3.8,0,0,0